"En una escala de l’1 al 5, com valoraries el teu coneixement i comprensió de les eines d’IA (per exemple, ChatGPT) per a finalitats acadèmiques?","En una escala de l’1 al 5, amb quina freqüència utilitzes eines d’IA (per exemple, ChatGPT) per a tasques acadèmiques?",En quina mesura creus que les eines d’IA t’ajuden a comprendre temes acadèmics complexos?,"Si no poguessis utilitzar eines d’IA durant un semestre, com creus que afectaria el teu rendiment acadèmic?","En una escala de l’1 al 5, en quina mesura creus que les eines d’IA milloren el teu rendiment acadèmic?","Com creus que les eines d’IA (per exemple, ChatGPT) han influït en els mètodes d’ensenyament a la teva institució educativa?",Com de segur et sents explicant el material que has après a classe sense cap ajuda externa (incloent-hi eines d’IA)?,Creus que la teva comprensió de temes complexos és més profunda quan estudies amb eines d’IA en comparació amb mètodes d’estudi tradicionals (sense IA)?,"En quina mesura estàs d’acord amb la següent afirmació: 'Quan faig servir eines d’IA amb regularitat, tendeixo a dependre més d’elles per resoldre problemes i aprendre, en lloc de fer-ho amb les meves pròpies habilitats cognitives.'","Al teu entendre, com de forta és la correlació entre la freqüència d’ús d’eines d’IA i el teu rendiment acadèmic (per exemple, notes d’exàmens, puntuacions de tasques)?","Després d’estudiar amb assistència d’IA, quant de temps retens normalment el material après en comparació amb mètodes d’estudi tradicionals?",En quina mesura estàs d’acord amb la següent afirmació: 'Confiar massa en les eines d’IA (com ChatGPT) podria danyar la creativitat i les habilitats de pensament crític dels estudiants.',Com de preocupat estàs per la privadesa i la seguretat de les teves dades personals quan utilitzes eines d’IA per a tasques acadèmiques?,T’interessaria fer servir una eina web que avaluï l’estat del teu procés d’aprenentatge segons el teu ús de la IA i el teu rendiment acadèmic?,"Com valoraries la disponibilitat de recursos i suport (per exemple, materials de formació, tutorials, serveis d’ajuda) per a l’ús d’eines d’IA a la teva institució educativa?",Quina probabilitat hi ha que recomanis l’ús d’eines d’IA per a finalitats acadèmiques als teus companys?
5.0,4.0,4.0,2.0,4.0,3.0,2.0,4.0,3.0,3.0,2.0,4.0,2.0,3.0,4,4
4.0,5.0,4.0,1.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,5.0,4.0,5.0,1,4
4.0,5.0,3.0,3.0,4.0,3.0,4.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,2,5
5.0,5.0,4.0,3.0,4.0,2.0,4.0,2.0,4.0,3.0,1.0,5.0,2.0,3.0,3,5
5.0,2.0,4.0,2.0,4.0,3.0,4.0,2.0,4.0,3.0,3.0,2.0,4.0,3.0,1,4
5.0,5.0,5.0,3.0,5.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,2.0,5.0,3,4
5.0,2.0,3.0,3.0,3.0,2.0,4.0,2.0,5.0,3.0,3.0,5.0,5.0,2.0,2,1
5.0,3.0,5.0,3.0,4.0,3.0,2.0,4.0,2.0,3.0,3.0,2.0,2.0,5.0,2,5
4.0,2.0,3.0,3.0,2.0,1.0,4.0,2.0,5.0,3.0,2.0,5.0,1.0,1.0,2,1
4.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,2.0,4.0,1,5
5.0,5.0,5.0,3.0,3.0,3.0,5.0,5.0,5.0,5.0,3.0,3.0,1.0,3.0,1,5
4.0,3.0,5.0,2.0,4.0,4.0,3.0,5.0,4.0,4.0,2.0,3.0,4.0,4.0,2,4
4.0,5.0,3.0,2.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,2.0,4.0,4,5
4.0,3.0,4.0,3.0,2.0,3.0,2.0,1.0,4.0,3.0,3.0,4.0,5.0,4.0,2,3
5.0,5.0,5.0,3.0,3.0,3.0,5.0,4.0,4.0,3.0,3.0,4.0,3.0,1.0,2,5
5.0,5.0,3.0,2.0,4.0,3.0,2.0,4.0,5.0,4.0,2.0,5.0,2.0,5.0,4,5
5.0,4.0,5.0,2.0,5.0,3.0,4.0,3.0,4.0,3.0,2.0,5.0,2.0,5.0,4,5
5.0,5.0,5.0,3.0,4.0,4.0,5.0,4.0,5.0,3.0,3.0,5.0,1.0,5.0,4,5
4.0,3.0,3.0,2.0,3.0,2.0,2.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,1,4
5.0,3.0,5.0,3.0,4.0,2.0,5.0,5.0,2.0,3.0,3.0,3.0,1.0,2.0,1,5
4.0,5.0,5.0,2.0,5.0,3.0,3.0,5.0,5.0,4.0,3.0,5.0,5.0,5.0,1,4
4.0,5.0,4.0,3.0,4.0,3.0,4.0,3.0,2.0,2.0,4.0,4.0,4.0,1.0,5,5
3.0,3.0,3.0,3.0,4.0,3.0,5.0,4.0,2.0,2.0,2.0,5.0,3.0,4.0,2,3
4.0,3.0,4.0,2.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4,4
4.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,3,3
2.0,2.0,3.0,3.0,2.0,2.0,5.0,4.0,5.0,2.0,3.0,4.0,4.0,5.0,1,4
3.0,2.0,4.0,3.0,3.0,3.0,3.0,3.0,5.0,3.0,3.0,2.0,4.0,3.0,3,3
4.0,5.0,3.0,3.0,3.0,2.0,3.0,4.0,2.0,3.0,3.0,2.0,1.0,4.0,1,4
5.0,4.0,5.0,2.0,3.0,2.0,3.0,3.0,5.0,4.0,3.0,4.0,2.0,4.0,3,4
3.0,5.0,5.0,4.0,3.0,2.0,4.0,5.0,3.0,3.0,3.0,3.0,1.0,3.0,3,3
5.0,5.0,5.0,3.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,5.0,4.0,5.0,4,4
4.0,5.0,3.0,3.0,5.0,4.0,3.0,2.0,3.0,3.0,2.0,5.0,4.0,5.0,5,5
3.0,4.0,3.0,3.0,2.0,3.0,5.0,3.0,5.0,3.0,2.0,5.0,3.0,3.0,4,4
3.0,4.0,4.0,3.0,3.0,3.0,4.0,3.0,4.0,2.0,4.0,3.0,4.0,2.0,2,2
4.0,4.0,3.0,3.0,3.0,2.0,4.0,3.0,4.0,3.0,3.0,4.0,2.0,4.0,2,3
5.0,4.0,5.0,3.0,3.0,2.0,2.0,4.0,3.0,4.0,3.0,4.0,2.0,4.0,1,4
5.0,3.0,4.0,2.0,4.0,3.0,4.0,4.0,3.0,3.0,4.0,5.0,4.0,4.0,4,4
4.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,3.0,4,4
4.0,4.0,4.0,3.0,4.0,2.0,2.0,3.0,4.0,4.0,3.0,4.0,2.0,4.0,3,4
3.0,3.0,4.0,3.0,4.0,3.0,2.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,4,4
4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3,3
5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,4.0,2,3
4.0,4.0,4.0,1.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3,3
3.0,4.0,5.0,2.0,5.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,2,2
4.0,4.0,4.0,3.0,5.0,4.0,2.0,1.0,5.0,4.0,2.0,5.0,3.0,4.0,4,4
4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,2.0,4.0,4.0,4,4
3.0,1.0,4.0,3.0,4.0,1.0,5.0,5.0,1.0,3.0,5.0,2.0,1.0,4.0,1,4
4.0,4.0,4.0,3.0,5.0,4.0,4.0,5.0,5.0,4.0,3.0,4.0,4.0,3.0,4,4
3.0,2.0,3.0,3.0,5.0,4.0,4.0,3.0,5.0,3.0,3.0,2.0,4.0,3.0,4,4
5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,3.0,4.0,4.0,4,4
3.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,5.0,3,5
5.0,5.0,5.0,1.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3,3
5.0,5.0,3.0,3.0,3.0,2.0,3.0,3.0,5.0,4.0,2.0,4.0,4.0,1.0,2,5
4.0,5.0,4.0,5.0,3.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4,4
4.0,4.0,4.0,2.0,3.0,3.0,5.0,2.0,4.0,5.0,3.0,5.0,4.0,5.0,2,5
4.0,4.0,4.0,4.0,4.0,3.0,4.0,1.0,2.0,4.0,3.0,5.0,1.0,2.0,3,4
4.0,5.0,4.0,3.0,3.0,3.0,4.0,2.0,4.0,4.0,2.0,5.0,4.0,3.0,4,5
3.0,4.0,3.0,3.0,3.0,3.0,4.0,2.0,4.0,3.0,2.0,5.0,4.0,3.0,2,4
4.0,3.0,4.0,4.0,3.0,3.0,4.0,3.0,4.0,4.0,3.0,5.0,3.0,4.0,3,4
4.0,3.0,3.0,3.0,3.0,3.0,4.0,2.0,4.0,3.0,3.0,4.0,3.0,4.0,3,4
5.0,4.0,5.0,3.0,4.0,2.0,4.0,4.0,2.0,3.0,2.0,5.0,1.0,4.0,3,5
4.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,2.0,3.0,4.0,2,4
4.0,3.0,4.0,3.0,4.0,2.0,5.0,2.0,5.0,3.0,3.0,5.0,4.0,5.0,3,4
5.0,5.0,5.0,1.0,4.0,3.0,3.0,5.0,5.0,5.0,3.0,4.0,3.0,5.0,3,5
4.0,3.0,5.0,2.0,4.0,4.0,4.0,5.0,2.0,4.0,2.0,3.0,2.0,4.0,4,5
4.0,3.0,3.0,3.0,3.0,3.0,5.0,2.0,3.0,4.0,3.0,4.0,1.0,4.0,5,5
4.0,5.0,5.0,3.0,5.0,3.0,3.0,3.0,4.0,3.0,2.0,4.0,2.0,2.0,1,4
3.0,5.0,3.0,1.0,2.0,3.0,2.0,2.0,5.0,4.0,3.0,5.0,2.0,5.0,4,4
3.0,4.0,4.0,2.0,2.0,3.0,4.0,3.0,4.0,3.0,3.0,5.0,5.0,4.0,3,4
4.0,3.0,4.0,3.0,4.0,3.0,2.0,2.0,4.0,3.0,2.0,5.0,2.0,5.0,2,5
5.0,5.0,5.0,2.0,4.0,3.0,5.0,3.0,5.0,3.0,3.0,5.0,4.0,5.0,1,3
4.0,3.0,4.0,3.0,3.0,3.0,5.0,3.0,4.0,3.0,4.0,5.0,1.0,1.0,1,5
4.0,4.0,4.0,2.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,3.0,2.0,4.0,1,5
5.0,5.0,5.0,2.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,3.0,5.0,4.0,2,4
3.0,4.0,2.0,2.0,2.0,2.0,3.0,3.0,5.0,3.0,2.0,4.0,4.0,4.0,3,3
5.0,5.0,4.0,3.0,4.0,2.0,4.0,4.0,3.0,4.0,4.0,5.0,4.0,3.0,2,5
4.0,3.0,5.0,4.0,5.0,1.0,4.0,4.0,3.0,3.0,2.0,5.0,1.0,4.0,4,5
5.0,5.0,3.0,2.0,4.0,3.0,4.0,3.0,5.0,3.0,3.0,5.0,3.0,3.0,1,4
4.0,4.0,5.0,2.0,4.0,4.0,3.0,3.0,3.0,3.0,2.0,4.0,3.0,5.0,4,4
5.0,5.0,5.0,2.0,5.0,3.0,3.0,4.0,5.0,4.0,2.0,5.0,3.0,4.0,4,5
5.0,4.0,4.0,3.0,4.0,3.0,3.0,5.0,5.0,4.0,5.0,2.0,1.0,1.0,2,5
3.0,3.0,4.0,3.0,2.0,2.0,3.0,3.0,4.0,2.0,2.0,5.0,3.0,4.0,3,2
3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,2.0,3.0,2.0,5.0,4.0,4.0,2,2
5.0,5.0,4.0,3.0,3.0,3.0,4.0,4.0,2.0,2.0,4.0,3.0,4.0,3.0,4,4
4.0,4.0,5.0,2.0,4.0,3.0,3.0,4.0,4.0,4.0,3.0,5.0,3.0,4.0,2,4
4.0,2.0,4.0,3.0,3.0,2.0,5.0,1.0,5.0,3.0,3.0,5.0,2.0,5.0,5,2
3.0,3.0,4.0,2.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,4.0,3.0,4.0,5,4
4.0,5.0,4.0,2.0,4.0,2.0,3.0,4.0,5.0,4.0,3.0,4.0,1.0,4.0,2,4
4.0,5.0,4.0,3.0,4.0,4.0,3.0,5.0,4.0,4.0,3.0,5.0,5.0,5.0,5,4
3.0,3.0,3.0,3.0,4.0,1.0,4.0,4.0,5.0,3.0,3.0,5.0,2.0,5.0,5,5
5.0,2.0,2.0,3.0,2.0,2.0,5.0,1.0,5.0,1.0,2.0,5.0,3.0,2.0,1,2
3.0,2.0,3.0,4.0,3.0,3.0,4.0,2.0,5.0,3.0,3.0,5.0,4.0,5.0,3,2
5.0,5.0,5.0,3.0,4.0,2.0,4.0,1.0,5.0,3.0,3.0,5.0,5.0,1.0,1,5
5.0,2.0,2.0,3.0,3.0,2.0,4.0,3.0,4.0,3.0,2.0,5.0,1.0,3.0,2,2
3.0,4.0,4.0,3.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,2.0,4.0,3.0,2,4
5.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,5,5
5.0,2.0,4.0,4.0,3.0,3.0,4.0,4.0,3.0,4.0,3.0,3.0,2.0,3.0,3,3
5.0,4.0,4.0,3.0,4.0,4.0,5.0,3.0,2.0,4.0,3.0,4.0,5.0,5.0,1,4
4.0,4.0,5.0,2.0,4.0,3.0,3.0,5.0,4.0,4.0,3.0,4.0,1.0,2.0,5,5
4.0,4.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,4.0,2.0,3.0,3,4
3.0,2.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,3.0,3.0,2.0,3,3
4.0,3.0,5.0,3.0,5.0,5.0,4.0,5.0,4.0,4.0,5.0,5.0,1.0,3.0,5,5
3.0,2.0,4.0,3.0,3.0,3.0,4.0,3.0,2.0,3.0,3.0,4.0,2.0,4.0,3,2
5.0,4.0,4.0,3.0,4.0,5.0,4.0,3.0,3.0,4.0,4.0,2.0,3.0,4.0,4,5
4.0,5.0,5.0,2.0,4.0,4.0,4.0,4.0,5.0,5.0,3.0,5.0,2.0,3.0,4,5
5.0,4.0,5.0,2.0,4.0,3.0,4.0,4.0,4.0,4.0,5.0,4.0,2.0,5.0,2,4
3.0,5.0,3.0,1.0,3.0,2.0,2.0,2.0,5.0,2.0,2.0,4.0,4.0,2.0,2,4
1.0,1.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,2,2
5.0,5.0,5.0,2.0,5.0,4.0,4.0,4.0,5.0,4.0,5.0,3.0,5.0,5.0,5,5
3.0,5.0,5.0,5.0,5.0,3.0,3.0,5.0,3.0,3.0,3.0,4.0,4.0,4.0,1,4
3.0,4.0,4.0,3.0,4.0,4.0,5.0,4.0,3.0,3.0,3.0,5.0,1.0,3.0,1,4
3.0,2.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,1,3
4.0,5.0,5.0,3.0,2.0,1.0,5.0,2.0,2.0,3.0,3.0,5.0,5.0,1.0,5,2
4.0,3.0,5.0,2.0,2.0,5.0,3.0,3.0,5.0,3.0,3.0,4.0,1.0,4.0,5,3
5.0,2.0,5.0,3.0,5.0,4.0,3.0,5.0,2.0,5.0,5.0,3.0,2.0,5.0,1,3
4.0,4.0,3.0,2.0,4.0,3.0,4.0,5.0,4.0,3.0,3.0,4.0,1.0,4.0,3,5
4.0,5.0,4.0,3.0,4.0,3.0,5.0,3.0,5.0,4.0,3.0,5.0,3.0,5.0,1,5
3.0,3.0,4.0,2.0,4.0,3.0,2.0,4.0,4.0,3.0,4.0,4.0,3.0,5.0,3,5
2.0,1.0,2.0,4.0,3.0,3.0,5.0,2.0,1.0,2.0,2.0,3.0,1.0,3.0,2,1
4.0,3.0,5.0,2.0,5.0,4.0,4.0,5.0,3.0,4.0,3.0,5.0,4.0,5.0,5,5
3.0,3.0,4.0,3.0,4.0,3.0,5.0,1.0,4.0,2.0,3.0,4.0,1.0,4.0,2,4
4.0,5.0,5.0,3.0,4.0,3.0,5.0,3.0,5.0,3.0,3.0,5.0,3.0,4.0,1,5
5.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,1.0,4.0,5.0,5.0,4.0,5.0,5,5
5.0,3.0,5.0,3.0,4.0,1.0,5.0,4.0,4.0,4.0,5.0,5.0,1.0,4.0,2,4
4.0,3.0,4.0,3.0,4.0,2.0,3.0,4.0,5.0,4.0,3.0,5.0,1.0,4.0,4,4
5.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,2.0,4.0,3.0,2.0,3.0,4.0,5,5
3.0,4.0,4.0,2.0,4.0,3.0,3.0,4.0,2.0,3.0,5.0,5.0,4.0,4.0,4,5
5.0,4.0,3.0,3.0,5.0,2.0,3.0,4.0,4.0,4.0,3.0,4.0,2.0,3.0,3,4
4.0,5.0,4.0,2.0,4.0,2.0,3.0,2.0,4.0,4.0,3.0,5.0,5.0,4.0,3,3
4.0,2.0,3.0,3.0,5.0,2.0,5.0,4.0,1.0,3.0,2.0,4.0,3.0,5.0,3,3
4.0,5.0,5.0,3.0,4.0,3.0,4.0,5.0,5.0,4.0,3.0,5.0,3.0,5.0,1,5
4.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4,4
4.0,5.0,5.0,2.0,3.0,3.0,1.0,1.0,5.0,4.0,3.0,4.0,2.0,2.0,1,5
4.0,2.0,3.0,4.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,5.0,5.0,5.0,3,4
4.0,5.0,4.0,3.0,3.0,2.0,5.0,4.0,4.0,3.0,3.0,5.0,1.0,4.0,4,5
5.0,5.0,5.0,3.0,3.0,5.0,4.0,4.0,5.0,5.0,2.0,5.0,2.0,2.0,1,3
4.0,4.0,5.0,2.0,4.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,2.0,2.0,1,4
3.0,5.0,4.0,2.0,4.0,4.0,3.0,3.0,3.0,4.0,3.0,5.0,3.0,5.0,1,5
5.0,4.0,4.0,2.0,4.0,3.0,4.0,2.0,4.0,4.0,3.0,5.0,2.0,5.0,2,5
4.0,4.0,3.0,4.0,4.0,4.0,3.0,3.0,5.0,3.0,3.0,3.0,2.0,4.0,2,5
5.0,5.0,5.0,2.0,4.0,3.0,3.0,5.0,5.0,5.0,3.0,4.0,3.0,5.0,3,5
4.0,3.0,3.0,2.0,4.0,3.0,5.0,3.0,1.0,3.0,3.0,4.0,2.0,1.0,1,5
3.0,3.0,3.0,3.0,3.0,2.0,4.0,2.0,5.0,3.0,3.0,5.0,4.0,5.0,2,3
4.0,5.0,5.0,2.0,4.0,3.0,5.0,5.0,4.0,4.0,3.0,4.0,4.0,4.0,1,5
5.0,2.0,5.0,4.0,3.0,4.0,4.0,5.0,3.0,5.0,3.0,3.0,5.0,4.0,4,3
4.0,4.0,4.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,2.0,3.0,3,4
5.0,5.0,5.0,1.0,5.0,3.0,4.0,4.0,4.0,5.0,3.0,5.0,1.0,1.0,2,5
3.0,5.0,4.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,2,4
5.0,4.0,5.0,3.0,5.0,5.0,5.0,5.0,4.0,4.0,3.0,5.0,5.0,5.0,4,5
4.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,3.0,3.0,4.0,1.0,4.0,2,1
2.0,4.0,4.0,1.0,2.0,4.0,2.0,3.0,5.0,4.0,2.0,5.0,2.0,4.0,5,5
5.0,4.0,4.0,2.0,4.0,3.0,4.0,5.0,3.0,4.0,3.0,5.0,3.0,5.0,5,5
5.0,5.0,4.0,2.0,4.0,2.0,4.0,4.0,5.0,3.0,4.0,4.0,2.0,4.0,4,4
4.0,3.0,4.0,3.0,3.0,5.0,5.0,3.0,3.0,3.0,3.0,5.0,4.0,4.0,3,4
4.0,3.0,5.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,2.0,3.0,3.0,3,3
3.0,5.0,5.0,1.0,5.0,5.0,5.0,5.0,1.0,3.0,3.0,1.0,1.0,3.0,3,5
5.0,4.0,4.0,2.0,4.0,3.0,4.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,4,3
4.0,4.0,4.0,3.0,4.0,3.0,5.0,4.0,3.0,3.0,3.0,2.0,1.0,3.0,3,4
5.0,4.0,5.0,3.0,4.0,4.0,4.0,5.0,3.0,4.0,3.0,5.0,2.0,5.0,4,5
4.0,3.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0,5.0,3.0,3.0,2,4
3.0,5.0,4.0,3.0,3.0,3.0,5.0,4.0,5.0,3.0,4.0,5.0,1.0,2.0,1,5
5.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,2.0,3.0,3.0,3.0,4.0,3.0,4,3
3.0,4.0,5.0,3.0,4.0,4.0,4.0,3.0,2.0,3.0,3.0,4.0,3.0,2.0,3,4
4.0,4.0,5.0,4.0,4.0,5.0,4.0,5.0,3.0,4.0,4.0,5.0,3.0,4.0,3,3
4.0,4.0,5.0,2.0,4.0,3.0,4.0,5.0,4.0,4.0,5.0,5.0,4.0,4.0,1,5
5.0,5.0,5.0,3.0,5.0,3.0,5.0,1.0,1.0,3.0,3.0,4.0,1.0,1.0,1,5
5.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0,4.0,3.0,4.0,4,4
2.0,2.0,5.0,3.0,3.0,2.0,4.0,1.0,5.0,3.0,1.0,5.0,2.0,4.0,4,2
4.0,4.0,3.0,3.0,2.0,2.0,5.0,1.0,2.0,4.0,2.0,5.0,3.0,5.0,3,4
4.0,3.0,4.0,3.0,3.0,2.0,5.0,3.0,5.0,3.0,3.0,5.0,5.0,5.0,3,4
5.0,3.0,4.0,1.0,3.0,5.0,1.0,3.0,4.0,2.0,5.0,5.0,1.0,5.0,1,5
4.0,4.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,2.0,3.0,3.0,3.0,1.0,4,4
4.0,3.0,5.0,3.0,4.0,2.0,5.0,5.0,4.0,4.0,4.0,5.0,3.0,4.0,3,4
5.0,5.0,5.0,2.0,4.0,3.0,4.0,4.0,5.0,4.0,4.0,5.0,3.0,5.0,4,5
5.0,5.0,5.0,3.0,3.0,3.0,5.0,3.0,4.0,3.0,3.0,3.0,4.0,1.0,2,5
4.0,5.0,4.0,3.0,3.0,3.0,3.0,3.0,5.0,4.0,2.0,5.0,2.0,4.0,3,2
4.0,5.0,5.0,2.0,5.0,5.0,3.0,5.0,4.0,4.0,3.0,4.0,3.0,4.0,5,5
4.0,4.0,4.0,3.0,4.0,3.0,5.0,2.0,4.0,3.0,3.0,2.0,4.0,5.0,5,4
5.0,5.0,5.0,1.0,5.0,3.0,1.0,1.0,5.0,5.0,1.0,4.0,5.0,5.0,5,5
5.0,5.0,5.0,1.0,5.0,3.0,1.0,1.0,5.0,4.0,1.0,5.0,4.0,4.0,4,4
5.0,5.0,5.0,2.0,4.0,1.0,2.0,1.0,5.0,5.0,2.0,5.0,4.0,5.0,1,5
2.0,2.0,2.0,3.0,3.0,2.0,4.0,3.0,4.0,3.0,3.0,5.0,5.0,5.0,4,4
4.0,5.0,5.0,2.0,4.0,2.0,4.0,5.0,5.0,2.0,4.0,5.0,2.0,5.0,5,5
5.0,5.0,5.0,1.0,4.0,3.0,1.0,2.0,5.0,4.0,2.0,3.0,4.0,3.0,3,4
4.0,5.0,3.0,2.0,4.0,1.0,3.0,2.0,4.0,4.0,4.0,5.0,2.0,4.0,4,2
5.0,5.0,5.0,4.0,4.0,1.0,3.0,5.0,5.0,5.0,3.0,5.0,1.0,5.0,5,5
4.0,4.0,4.0,4.0,3.0,3.0,2.0,4.0,4.0,4.0,2.0,5.0,3.0,3.0,3,3
